,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,HomeWinRate,AwayWinRate,isWin
9,31/08/2018,Hannover,Dortmund,1.0,4.0,D,0.0,3.0,13.0,10.0,4.0,5.0,6.0,8.0,3.0,7.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0
10,01/09/2018,Augsburg,M'gladbach,2.0,2.0,D,0.0,0.0,14.0,17.0,7.0,7.0,10.0,10.0,5.0,9.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
11,01/09/2018,Ein Frankfurt,Werder Bremen,2.0,1.0,A,1.0,0.0,10.0,15.0,2.0,3.0,12.0,5.0,4.0,4.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0
12,01/09/2018,Hoffenheim,Freiburg,1.0,0.0,H,0.0,0.0,8.0,22.0,5.0,6.0,21.0,7.0,2.0,6.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0
13,01/09/2018,Leverkusen,Wolfsburg,0.0,2.0,A,0.0,1.0,13.0,11.0,3.0,7.0,10.0,16.0,5.0,7.0,2.0,5.0,0.0,0.0,0.0,1.0,0.0
14,01/09/2018,Nurnberg,Mainz,0.0,1.0,D,0.0,0.0,12.0,8.0,3.0,3.0,10.0,15.0,4.0,6.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0
15,01/09/2018,Stuttgart,Bayern Munich,0.0,3.0,A,0.0,1.0,12.0,16.0,3.0,5.0,6.0,2.0,3.0,7.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0
16,02/09/2018,RB Leipzig,Fortuna Dusseldorf,1.0,1.0,D,1.0,1.0,10.0,9.0,7.0,5.0,11.0,11.0,9.0,7.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
17,02/09/2018,Schalke 04,Hertha,1.0,1.0,A,0.0,1.0,9.0,10.0,4.0,3.0,11.0,13.0,2.0,8.0,3.0,2.0,1.0,0.0,0.0,1.0,0.0
18,14/09/2018,Dortmund,Ein Frankfurt,2.0,1.5,H,1.5,0.5,9.0,7.5,4.0,1.5,6.5,9.0,4.0,6.0,1.0,1.5,0.0,0.5,0.5,0.5,1.0
19,15/09/2018,Bayern Munich,Leverkusen,3.0,0.5,H,1.0,0.5,18.0,14.5,5.5,3.0,3.5,11.5,9.5,5.0,0.5,2.5,0.0,0.0,1.0,0.0,1.0
20,15/09/2018,Fortuna Dusseldorf,Hoffenheim,1.0,2.0,H,0.5,0.0,11.5,14.0,6.5,6.0,13.0,17.0,5.0,4.0,2.5,2.5,0.0,0.0,0.0,0.5,1.0
21,15/09/2018,Mainz,Augsburg,1.0,1.5,H,0.5,0.5,7.0,16.0,2.0,7.0,13.0,11.0,3.5,7.0,1.5,0.5,0.0,0.0,0.5,0.5,1.0
22,15/09/2018,M'gladbach,Schalke 04,1.5,0.5,H,0.0,0.0,12.0,12.5,4.5,4.0,11.0,13.5,6.5,5.5,1.5,2.0,0.0,1.0,0.5,0.0,1.0
23,15/09/2018,RB Leipzig,Hannover,1.0,0.5,H,0.5,0.0,16.5,10.0,7.0,2.0,11.0,8.5,6.0,3.5,1.5,0.0,0.0,0.0,0.0,0.0,1.0
24,15/09/2018,Wolfsburg,Hertha,2.5,1.5,D,1.0,1.0,11.5,7.5,6.0,3.0,14.5,14.0,5.0,4.0,4.0,1.5,0.0,0.0,1.0,1.0,0.0
25,16/09/2018,Freiburg,Stuttgart,0.5,0.0,D,0.5,0.0,15.5,8.0,5.0,1.5,10.5,4.5,5.0,1.5,1.5,1.0,0.0,0.0,0.0,0.0,0.0
26,16/09/2018,Werder Bremen,Nurnberg,1.5,0.5,D,0.5,0.0,13.0,15.5,4.5,3.5,8.0,10.0,3.5,4.5,1.0,2.0,0.0,0.0,0.5,0.0,0.0
27,21/09/2018,Stuttgart,Fortuna Dusseldorf,1.0,1.3333333333333333,D,0.3333333333333333,0.6666666666666666,9.0,10.333333333333334,3.0,5.666666666666667,6.666666666666667,12.0,3.6666666666666665,3.3333333333333335,2.0,2.0,0.0,0.0,0.0,0.3333333333333333,0.0
28,22/09/2018,Augsburg,Werder Bremen,1.3333333333333333,1.3333333333333333,A,0.3333333333333333,0.6666666666666666,15.0,13.333333333333334,6.0,3.6666666666666665,12.666666666666666,11.0,6.0,3.6666666666666665,1.0,1.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0
29,22/09/2018,Hertha,M'gladbach,1.6666666666666667,1.6666666666666667,H,0.6666666666666666,0.3333333333333333,8.0,13.0,3.6666666666666665,4.333333333333333,13.666666666666666,9.0,3.3333333333333335,6.333333333333333,1.6666666666666667,1.0,0.0,0.0,0.6666666666666666,0.6666666666666666,1.0
30,22/09/2018,Hoffenheim,Dortmund,1.6666666666666667,2.3333333333333335,D,0.0,1.3333333333333333,15.333333333333334,9.333333333333334,5.666666666666667,4.666666666666667,17.666666666666668,8.0,5.666666666666667,5.0,2.3333333333333335,0.6666666666666666,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0
31,22/09/2018,Nurnberg,Hannover,0.6666666666666666,1.0,H,0.0,0.3333333333333333,14.0,12.0,3.0,4.0,8.333333333333334,9.666666666666666,5.333333333333333,6.333333333333333,1.3333333333333333,1.3333333333333333,0.0,0.0,0.0,0.0,1.0
32,22/09/2018,Schalke 04,Bayern Munich,0.6666666666666666,3.0,A,0.0,1.3333333333333333,13.333333333333334,18.0,4.666666666666667,5.333333333333333,13.0,3.6666666666666665,5.666666666666667,9.333333333333334,2.6666666666666665,0.3333333333333333,0.6666666666666666,0.0,0.0,1.0,0.0
